cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,receive_threshold_used,triangle_index,used_fallback,src_x,src_y,src_z,target_x,target_y,target_z,normal_x,normal_y,normal_z
2,-18,1,0.003740,0.000174,0.000001,accepted,accepted,0.103170,0.423588,0.150000,5127,False,15.193759,18.032089,1.496798,15.084003,18.023577,1.446168,-0.905801,-0.070259,-0.417838
2,-8,1,0.003740,0.000174,0.000001,accepted,accepted,0.274807,0.528287,0.150000,5127,False,15.193759,18.032089,1.907570,14.928535,18.011517,1.785224,-0.905801,-0.070259,-0.417838
3,-40,15,0.056100,0.000174,0.000010,accepted,accepted,0.189348,0.662386,0.150000,5128,False,15.094109,18.082125,0.611989,15.264942,18.082933,0.598751,-0.997000,-0.004714,0.077255
3,-39,3,0.011220,0.000174,0.000002,accepted,accepted,0.105905,0.668363,0.150000,5128,False,15.179523,18.082125,0.634175,15.267163,18.082541,0.627384,-0.997000,-0.004714,0.077255
3,-38,2,0.007480,0.000174,0.000001,accepted,accepted,0.101981,0.677115,0.150000,5128,False,15.186641,18.082125,0.675253,15.270370,18.082521,0.668765,-0.997000,-0.004714,0.077255
3,-37,4,0.014960,0.000174,0.000003,accepted,accepted,0.119347,0.685644,0.150000,5128,False,15.172405,18.082125,0.716330,15.273448,18.082603,0.708500,-0.997000,-0.004714,0.077255
3,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.101231,0.694893,0.150000,5128,False,15.193759,18.082125,0.757407,15.276740,18.082518,0.750977,-0.997000,-0.004714,0.077255
3,-35,4,0.014960,0.000174,0.000003,accepted,accepted,0.125694,0.703544,0.150000,5128,False,15.172405,18.082125,0.798484,15.279776,18.082634,0.790164,-0.997000,-0.004714,0.077255
3,-34,4,0.014960,0.000174,0.000003,accepted,accepted,0.128867,0.712676,0.150000,5128,False,15.172405,18.082125,0.839562,15.282940,18.082649,0.830997,-0.997000,-0.004714,0.077255
3,-33,2,0.007480,0.000174,0.000001,accepted,accepted,0.117848,0.722171,0.150000,5128,False,15.186641,18.082125,0.880639,15.286189,18.082596,0.872925,-0.997000,-0.004714,0.077255
3,-32,1,0.003740,0.000174,0.000001,accepted,accepted,0.113924,0.731655,0.150000,5128,False,15.193759,18.082125,0.921716,15.289395,18.082579,0.914305,-0.997000,-0.004714,0.077255
3,-31,6,0.022440,0.000174,0.000004,accepted,accepted,0.149008,0.320643,0.150000,8689,False,15.158170,18.082125,0.962793,15.275963,18.090683,1.019492,-0.899124,-0.065333,-0.432790
3,-30,4,0.014960,0.000174,0.000003,accepted,accepted,0.118621,0.340346,0.150000,5127,False,15.172405,18.082125,1.003871,15.263548,18.089193,1.045914,-0.905801,-0.070259,-0.417838
3,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.082114,0.344819,0.150000,5127,False,15.193759,18.082125,1.044948,15.251834,18.086630,1.071737,-0.905801,-0.070259,-0.417838
3,-28,3,0.011220,0.000174,0.000002,accepted,accepted,0.077846,0.351869,0.150000,5127,False,15.179523,18.082125,1.086025,15.233731,18.086329,1.111031,-0.905801,-0.070259,-0.417838
3,-27,4,0.014960,0.000174,0.000003,accepted,accepted,0.067130,0.358678,0.150000,5127,False,15.172405,18.082125,1.127102,15.216908,18.085577,1.147631,-0.905801,-0.070259,-0.417838
3,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.003704,0.377218,0.150000,5127,False,15.193759,18.082125,1.250334,15.174100,18.080599,1.241266,-0.905801,-0.070259,-0.417838
3,-21,3,0.011220,0.000174,0.000002,accepted,accepted,0.042299,0.400724,0.150000,5127,False,15.179523,18.082125,1.373566,15.124904,18.077888,1.348371,-0.905801,-0.070259,-0.417838
3,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.072358,0.407415,0.150000,5127,False,15.193759,18.082125,1.414643,15.111913,18.075777,1.376888,-0.905801,-0.070259,-0.417838
3,-18,1,0.003740,0.000174,0.000001,accepted,accepted,0.106686,0.424196,0.150000,5127,False,15.193759,18.082125,1.496798,15.080819,18.073364,1.444699,-0.905801,-0.070259,-0.417838
3,-16,1,0.003740,0.000174,0.000001,accepted,accepted,0.141013,0.442244,0.150000,5127,False,15.193759,18.082125,1.578952,15.049726,18.070953,1.512511,-0.905801,-0.070259,-0.417838
3,-10,1,0.003740,0.000174,0.000001,accepted,accepted,0.243995,0.505243,0.150000,5127,False,15.193759,18.082125,1.825416,14.956444,18.063717,1.715944,-0.905801,-0.070259,-0.417838
4,-40,16,0.059840,0.000174,0.000010,accepted,accepted,0.196208,0.662144,0.150000,5128,False,15.086991,18.132162,0.611989,15.264665,18.133003,0.598221,-0.997000,-0.004714,0.077255
4,-39,12,0.044880,0.000174,0.000008,accepted,accepted,0.169537,0.667198,0.150000,5128,False,15.115462,18.132162,0.634175,15.266544,18.132877,0.622468,-0.997000,-0.004714,0.077255
4,-38,3,0.011220,0.000174,0.000002,accepted,accepted,0.108842,0.676864,0.150000,5128,False,15.179523,18.132162,0.675253,15.270092,18.132591,0.668235,-0.997000,-0.004714,0.077255
4,-36,3,0.011220,0.000174,0.000002,accepted,accepted,0.115189,0.694507,0.150000,5128,False,15.179523,18.132162,0.757407,15.276420,18.132622,0.749899,-0.997000,-0.004714,0.077255
4,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.104169,0.703759,0.150000,5128,False,15.193759,18.132162,0.798484,15.279669,18.132568,0.791827,-0.997000,-0.004714,0.077255
4,-34,2,0.007480,0.000174,0.000001,accepted,accepted,0.114439,0.712765,0.150000,5128,False,15.186641,18.132162,0.839562,15.282790,18.132618,0.832111,-0.997000,-0.004714,0.077255
4,-33,3,0.011220,0.000174,0.000002,accepted,accepted,0.124709,0.721883,0.150000,5128,False,15.179523,18.132162,0.880639,15.285912,18.132666,0.872395,-0.997000,-0.004714,0.077255
4,-32,1,0.003740,0.000174,0.000001,accepted,accepted,0.113689,0.731486,0.150000,5128,False,15.193759,18.132162,0.921716,15.289161,18.132614,0.914324,-0.997000,-0.004714,0.077255
4,-31,3,0.011220,0.000174,0.000002,accepted,accepted,0.126540,0.319314,0.150000,8689,False,15.179523,18.132162,0.962793,15.277114,18.139254,1.009768,-0.899124,-0.065333,-0.432790
4,-30,3,0.011220,0.000174,0.000002,accepted,accepted,0.108762,0.324772,0.150000,8689,False,15.179523,18.132162,1.003871,15.261129,18.138090,1.043152,-0.899124,-0.065333,-0.432790
4,-29,2,0.007480,0.000174,0.000001,accepted,accepted,0.085046,0.345358,0.150000,5127,False,15.186641,18.132162,1.044948,15.247372,18.136873,1.072963,-0.905801,-0.070259,-0.417838
4,-28,1,0.003740,0.000174,0.000001,accepted,accepted,0.061435,0.350949,0.150000,5127,False,15.193759,18.132162,1.086025,15.233103,18.135214,1.104174,-0.905801,-0.070259,-0.417838
4,-27,3,0.011220,0.000174,0.000002,accepted,accepted,0.057167,0.358239,0.150000,5127,False,15.179523,18.132162,1.127102,15.215000,18.134914,1.143468,-0.905801,-0.070259,-0.417838
4,-25,2,0.007480,0.000174,0.000001,accepted,accepted,0.016392,0.370946,0.150000,5127,False,15.186641,18.132162,1.209257,15.185184,18.132050,1.208585,-0.905801,-0.070259,-0.417838
4,-24,2,0.007480,0.000174,0.000001,accepted,accepted,0.000772,0.377896,0.150000,5127,False,15.186641,18.132162,1.250334,15.169638,18.130842,1.242491,-0.905801,-0.070259,-0.417838
4,-23,2,0.007480,0.000174,0.000001,accepted,accepted,0.017935,0.385090,0.150000,5127,False,15.186641,18.132162,1.291411,15.154091,18.129637,1.276396,-0.905801,-0.070259,-0.417838
5,-40,17,0.063580,0.000174,0.000011,accepted,accepted,0.203069,0.661614,0.150000,5128,False,15.079873,18.182198,0.611989,15.264387,18.183071,0.597691,-0.997000,-0.004714,0.077255
5,-39,7,0.026180,0.000174,0.000005,accepted,accepted,0.133819,0.667349,0.150000,5128,False,15.151052,18.182198,0.634175,15.266522,18.182745,0.625228,-0.997000,-0.004714,0.077255
5,-38,3,0.011220,0.000174,0.000002,accepted,accepted,0.108606,0.676422,0.150000,5128,False,15.179523,18.182198,0.675253,15.269856,18.182625,0.668253,-0.997000,-0.004714,0.077255
