cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,triangle_index,src_x,src_y,src_z,mapped_x,mapped_y,mapped_z
-4,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.115088,0.701317,4777,15.193759,17.731874,0.675253,15.304290,17.740465,0.668205
-4,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.120300,0.717178,4777,15.193759,17.731874,0.757407,15.309476,17.740868,0.750028
-4,-33,2,0.007480,0.000174,0.000001,accepted,accepted,0.135201,0.741419,4777,15.186641,17.731874,0.880639,15.317184,17.742020,0.872315
-4,-32,2,0.007480,0.000174,0.000001,accepted,accepted,0.137808,0.749630,4777,15.186641,17.731874,0.921716,15.319777,17.742222,0.913226
-4,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.038919,0.443039,8435,15.193759,17.731874,1.414643,15.155337,17.726049,1.396424
-4,-7,1,0.003740,0.000174,0.000001,accepted,accepted,0.265598,0.554174,8435,15.193759,17.731874,1.948647,14.952413,17.695290,1.834206
-3,-40,12,0.044880,0.000174,0.000008,accepted,accepted,0.185109,0.691010,4777,15.115462,17.781912,0.611989,15.295663,17.795918,0.600498
-3,-39,2,0.007480,0.000174,0.000001,accepted,accepted,0.115695,0.695856,4777,15.186641,17.781912,0.634175,15.297775,17.790550,0.627089
-3,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.113824,0.711793,4777,15.193759,17.781912,0.716330,15.303033,17.790405,0.709362
-3,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.116431,0.719848,4777,15.193759,17.781912,0.757407,15.305626,17.790607,0.750274
-3,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.119037,0.727974,4777,15.193759,17.781912,0.798484,15.308219,17.790808,0.791186
-3,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.124250,0.744422,4777,15.193759,17.781912,0.880639,15.313406,17.791210,0.873009
-3,-28,2,0.007480,0.000174,0.000001,accepted,accepted,0.100157,0.393171,8435,15.186641,17.781912,1.086025,15.272721,17.794960,1.126843
-3,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.041475,0.411233,8435,15.193759,17.781912,1.209257,15.227306,17.786997,1.225165
-3,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.024038,0.417764,8435,15.193759,17.781912,1.250334,15.211697,17.784630,1.258840
-2,-40,9,0.033660,0.000174,0.000006,accepted,accepted,0.159993,0.693298,4777,15.136816,17.831947,0.611989,15.292027,17.844011,0.602091
-2,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.104743,0.698088,4777,15.193759,17.831947,0.634175,15.293997,17.839739,0.627784
-2,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.107349,0.706059,4777,15.193759,17.831947,0.675253,15.296590,17.839939,0.668696
-2,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.109955,0.714113,4777,15.193759,17.831947,0.716330,15.299183,17.840141,0.709607
-2,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.112561,0.722246,4777,15.193759,17.831947,0.757407,15.301776,17.840343,0.750519
-2,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.115168,0.730454,4777,15.193759,17.831947,0.798484,15.304370,17.840544,0.791431
-2,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.117774,0.738732,4777,15.193759,17.831947,0.839562,15.306963,17.840746,0.832343
-2,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.120381,0.747072,4777,15.193759,17.831947,0.880639,15.309556,17.840948,0.873255
-2,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.104433,0.388256,8435,15.193759,17.831947,1.044948,15.283667,17.845575,1.087580
-2,-22,1,0.003740,0.000174,0.000001,accepted,accepted,0.017626,0.433519,8435,15.193759,17.831947,1.332489,15.174399,17.829012,1.323309
-2,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.052500,0.448117,8435,15.193759,17.831947,1.414643,15.143180,17.824280,1.390660
-1,-40,25,0.093500,0.000174,0.000016,accepted,accepted,0.269438,0.694050,4777,15.022930,17.881983,0.611989,15.287037,17.902510,0.595147
-1,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.103480,0.708041,4777,15.193759,17.881983,0.675253,15.292740,17.889675,0.668941
-1,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.108693,0.724366,4777,15.193759,17.881983,0.757407,15.297927,17.890079,0.750765
-1,-35,3,0.011220,0.000174,0.000002,accepted,accepted,0.125463,0.732508,4777,15.179523,17.881983,0.798484,15.300377,17.891376,0.790778
-1,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.116511,0.749415,4777,15.193759,17.881983,0.880639,15.305706,17.890684,0.873500
-1,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.097642,0.389561,8435,15.193759,17.881983,1.044948,15.277588,17.894690,1.084698
-1,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.010458,0.421410,8435,15.193759,17.881983,1.250334,15.199540,17.882858,1.253076
-1,-9,1,0.003740,0.000174,0.000001,accepted,accepted,0.247097,0.573858,5127,15.193759,17.881983,1.866493,14.966315,17.864342,1.761575
0,-40,11,0.041140,0.000174,0.000007,accepted,accepted,0.166418,0.696608,4777,15.122581,17.932018,0.611989,15.284184,17.944578,0.601684
0,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.097004,0.701662,4777,15.193759,17.932018,0.634175,15.286297,17.939211,0.628275
0,-36,2,0.007480,0.000174,0.000001,accepted,accepted,0.111906,0.726126,4777,15.186641,17.932018,0.757407,15.294005,17.940363,0.750561
0,-34,5,0.018700,0.000174,0.000003,accepted,accepted,0.138364,0.742663,4777,15.165287,17.932018,0.839562,15.298978,17.942410,0.831037
0,-31,2,0.007480,0.000174,0.000001,accepted,accepted,0.125006,0.768184,4777,15.186641,17.932018,0.962793,15.307238,17.937294,0.954333
0,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.092660,0.407533,5127,15.193759,17.932018,1.044948,15.274068,17.938248,1.081994
0,-26,1,0.003740,0.000174,0.000001,accepted,accepted,0.041170,0.427202,5127,15.193759,17.932018,1.168180,15.227427,17.934629,1.183711
1,-40,15,0.056100,0.000174,0.000010,accepted,accepted,0.190878,0.697638,4777,15.094109,17.982054,0.611989,15.280049,17.996506,0.600132
1,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.093135,0.703053,4777,15.193759,17.982054,0.634175,15.282447,17.988947,0.628520
1,-38,2,0.007480,0.000174,0.000001,accepted,accepted,0.102824,0.711118,4777,15.186641,17.982054,0.675253,15.284969,17.989697,0.668983
1,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.098536,0.719033,4777,15.193759,17.982054,0.716330,15.288024,17.983376,0.709190
1,-36,3,0.011220,0.000174,0.000002,accepted,accepted,0.115897,0.741373,5128,15.179523,17.982054,0.757407,15.291083,17.982580,0.748763
1,-35,2,0.007480,0.000174,0.000001,accepted,accepted,0.111973,0.749887,5128,15.186641,17.982054,0.798484,15.294290,17.982563,0.790143
1,-32,2,0.007480,0.000174,0.000001,accepted,accepted,0.121493,0.775472,5128,15.186641,17.982054,0.921716,15.303782,17.982607,0.912639
1,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.117570,0.784217,5128,15.193759,17.982054,0.962793,15.306988,17.982590,0.954020
1,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.106309,0.402049,5127,15.193759,17.982054,1.003871,15.286430,17.989243,1.046619
1,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.020491,0.435075,5127,15.193759,17.982054,1.209257,15.208696,17.983213,1.216147
2,-40,19,0.071060,0.000174,0.000012,accepted,accepted,0.217970,0.710954,5128,15.065638,18.032089,0.611989,15.278965,18.033098,0.595458
2,-39,2,0.007480,0.000174,0.000001,accepted,accepted,0.099043,0.717182,5128,15.186641,18.032089,0.634175,15.281399,18.032537,0.626833
2,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.095120,0.725478,5128,15.193759,18.032089,0.675253,15.284605,18.032518,0.668213
2,-36,3,0.011220,0.000174,0.000002,accepted,accepted,0.115660,0.741871,5128,15.179523,18.032089,0.757407,15.290848,18.032616,0.748781
2,-34,3,0.011220,0.000174,0.000002,accepted,accepted,0.122007,0.758776,5128,15.179523,18.032089,0.839562,15.297175,18.032646,0.830445
2,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.117334,0.784806,5128,15.193759,18.032089,0.962793,15.306753,18.032623,0.954038
